Greta Thunberg: Bhoomikku Vendi Oru School Kuttiyude Porattam,P S Rakesh,104,130.00
Kathayum Kathapathrangalum Sankalppikamalla,P V Shajikumar,88,120.00
Rafflesia (Malayalam),Alice Dodgson,118,200.00
Keralam: Susthira Vikasanathinu Oru Rooparekha,T P Kunjikkannan,199,240.00
Thenurumpine Theneechayakkam,M P Lipin Raj,104,140.00
Sakthi Seetha,B Sandhya,70,100.00
Oppam Kazhinja Kaalam,N Sreenivasan,232,350.00
Pusthakathinte Poomukham,M T Vasudevan Nair,312,390.00
Kadal Aarude Veedanu,Moncy Joseph,,150.00
Kalyaniyennum Dakshayaniyennum Peraya Randu Sthreekalude Katha,R Rajasree,271,300.00
Hydrangea (Malayalam),Lajo Jose,262,300.00
Susannayude Granthappura,Ajay P Mangatt,254,275.00
Oru Sthreeyum Parayathathu,Ashitha,70,100.00
Thanmayam,Priya A S,256,275.00
Mohanam,GoodKnight Mohan,288,350.00
Samudrasila ,Subhash Chandran,304,325.00
Nadodikkappalil Naalumaasam,T J S George,110,140.00
Athu Njanayirunnu,"Ashitha
                            
                                            
                            ,                 
                                                      Shihabuddin Poythumkadavu",144,175.00
Celluloid Swapnatakan,Ramachandra Babu,360,400.00
Payyante Rajavu,V K N,120,160.00
Pranayathinte Chathuranellikkakal,Joy Mathew,208,225.00
Rebel Sulthanmar,Manu S Pillai,344,350.00
Kailasayathra,Swami Thapovanam,215,200.00
Euthanasia,Benyamin,119,135.00
Afghanistan: Oru Apakatakaramaya Yathra,Joemon Joseph,176,200.00
Taxi Driverum Kamukiyum,Arshad Bathery,95,140.00
Nilavinariyam,Shihabuddin Poythumkadavu,126,130.00
Njan Snehicha Pusthakangal,Osho,208,200.00
Vazhi Kandupidikkunnavar ,Devadas V M,135,150.00
Irunooru Innu Kathakal,"Many Authors
                            
                                            
                            ,                 
                                                      Manamboor Rajan Babu",104,100.00
Solo Stories (Malayalam),Venu,168,200.00
Padapusthakam,Subhash Chandran,118,120.00
Oru Thoniyude Athmakathayil Ninnnu,N Prabhakaran,95,100.00
Sareerasaasthram,Benyamin,232,250.00
Pranayam Anchadi Ezhinchu,Gracy,88,90.00
Kakke Kakke Koodevide,Anita Nair,126,130.00
Aamughamillatha Anubhavangal,P M Jabir,112,125.00
Bhrithyavatsalyavum Mattu Kathakalum,Karoor Neelakanda Pillai,182,190.00
Valathuvasam Chernnu Nadakkuka,Civic Chandran,184,200.00
Pranayapachakam,Anita Nair,206,175.00
Enthu Padikkanam Engane Thozhil Nedam,Murali Thummarukudy,176,160.00
Pakalswapnathil Veyilu Kaayaan Vanna Oru Nari,Santhosh Echikkanam,103,100.00
Ashithayude Kathukal,Ashitha,167,170.00
NaranayumParavayayum,Santhosh Echikkanam,88,90.00
Film Direction (Malayalam),Sajan Theruvappuzha,299,300.00
Kaalante Delhi Yathra Anthikkadu Vazhi,Innocent,96,90.00
Irinjalakudakku Chuttum,Innocent,136,125.00
Yesuvinte Jeevitham,Leo Tolstoy,134,130.00
Kaadethu Kaduvayethu Njanethu?,N A Naseer,168,190.00
Kamakhya,Pradeep Bhaskar,384,350.00
Sareeram Sreshtamaya Upakaranam / Manassu Swantham Vyavaharam ,Sadhguru Jaggi Vasudev,104,200.00
Desanthara Yathrakal,Saji Varghese,256,225.00
Oru Lookkillanne Ulloo Bayankara Budhiya,K V Madhu,103,100.00
Masnavi,Jalaluddin Rumi,158,150.00
Budhan Paranja Kathakal,Anilkumar Thiruvoth,80,70.00
Nanmayute Poomaram,"Benjamin Bailey
                            
                                            
                            ,                 
                                                      K Sreekumar",152,150.00
Aana Doctor,Jayamohan (Tamil writer),110,90.00
V K Krishna Menon (Malayalam),T J S George,367,325.00
Prachodippikkunna Prabhashanangal,A P J Abdul Kalam,512,400.00
Kamapooja,K T Ramavarma,239,220.00
Mathrubhumi Aazhchappathippu Kathakal 2016,Many Authors,414,400.00
Kozhikodinte Katha,M G S Narayanan,152,150.00
Divyam,U R Ananthamurthy,240,"220.00

              199.00"
Gurumukhangal,Bhanuprakash,216,210.00
Londonilekku Oru Road Yathra,Baiju N Nair,368,325.00
Ordinary (Malayalam),Bobby Jose Kattikadu,192,200.00
Bahishkrithar,Sharan Kumar Limbale,215,"200.00

              180.00"
Curtain (Malayalam),N N Pillai,240,220.00
Vranam Pootha Chantham,N A Naseer,80,100.00
Kaattil Oppam Nadannavarum Pozhinjupoyavarum  ,N A Naseer,160,150.00
Siruthu Neram Manithanayi Irunthavan,Vairamuthu,135,125.00
Soorya Mathsyathe Vivarikkal,Meythil Radhakrishnan,62,75.00
Changampuzha Park,Sethu,168,160.00
Ente Jayilanubhavangal,Subaida,72,65.00
Penn Kurisu,Sonia Rafeek,112,100.00
Anusmarana,V K N,184,170.00
Konthala,Kalpetta Narayanan,95,100.00
Ethetho Saranikalil,C V Balakrishnan,229,220.00
Viswothara Christmas Kathakal,Many Authors,136,125.00
Avan (Mar)Jaraputhran,Madhupal,126,160.00
Nithyadhyanam,Hazrat Inayat Khan,120,110.00
Brennen Dinangal,"P T Muhamed Sadik
                            
                                            
                            ,                 
                                                      Punathil Kunjabdulla",54,50.00
Dhyana Padangal,P N Das,174,160.00
Puthiya Manushyanakan,Swami Gururathnam Jhana Thapaswi,191,175.00
Onnilum Tholkkathirikkan,C Radhakrishnan,208,190.00
Chiriyude Kodiyettam,K V Madhu,104,100.00
Anantharam Sangeethamundayi,Ravi Menon,200,180.00
Manvilakkukal Pootha Kalam,Ravi Menon,192,175.00
Ente Videsayathra: Charlie Chaplin ,"Charlie Chaplin
                            
                                            
                            ,                 
                                                      P Jayalakshmi",200,180.00
Desasnehikalum Pakshapathikalum,Ramachandra Guha,350,325.00
Oliver Twist (Malayalam),Charles Dickens,127,110.00
Napoleon (Malayalam),Nishanth Puthuppanam,96,90.00
Muthassi Ramayanam,"K A Francis
                            
                                            
                            ,                 
                                                      N Somasekharan",150,160.00
Greek Purana Kathakal,P Ajithkumar,128,110.00
Aayirathonnu Ravukalile Manthrika Kathakal,Gafoor Arakkal,127,110.00
Theevravadathinte Rashtreeyavum Prathyayasasthravum,K Venu,150,140.00
Ente Jyeshtathi Kamala,Sulochana Nalapat,176,160.00
Palum Pazhavum,T N Gopakumar,112,100.00
Doctor Akathilla,Punathil Kunjabdulla,111,95.00
Poonaranga,Joy Mathew,164,150.00
Kalayum Sahithyavum,"Madhu Master
                            
                                            
                            ,                 
                                                      Sigmund Freud",221,200.00
Rogasanthikku Yoga,"C Haridasan
                            
                                            
                            ,                 
                                                      K V Dileepkumar,Dr.",280,250.00
100 Fish Recipes,Roshnara,127,110.00
Malayalathile Paristhithy Kathakal,Ambikasuthan Mangad,222,200.00
Vijaya Padangal Parajayathil Ninnum,Joseph Chavara,95,95.00
Oru Prakruthi Snehiyude Anubhava Kurippukal,Pyotr Manteufel,80,70.00
Swami Ranganaathanantha,D Vijayamohan,176,150.00
Mirza Ghalib (Malayalam),K P A Samad,288,"270.00

              245.00"
Adunissinte Thiranjedutha kavithakal,Adunis,151,175.00
Sufism: Pranayamargathinte Lavanyam,Siddiq Muhammad,208,175.00
Manasika Sammardam: Kaaranangalum Pariharangalum,"P K Sukumaran, Dr.",151,130.00
Vasthavam,K Jayachandran,264,210.00
Harinama Keerthanam Muthal King Lear Vare,B Hrudayakumari,255,220.00
Rigveda Paryatanam,C N Parameswaran,328,300.00
Vilappurangal,Lizy,310,275.00
Jeevitham Enna Kala,M K Gandhi,301,275.00
Akkitham: Hrudayathil Kannulla Kavi,Vadakkumpadu Narayanan,263,225.00
Sapta Nadykalude Nadu,Sanjeev Sanyal,334,290.00
Prakasam Parathunna Jeevithangal,K Viswanath,88,75.00
Gandhi Nadanna Vazhikaliloode,Sreekanth Kottakkal,191,170.00
Kamasutram,"N Moosakkutty
                            
                                            
                            ,                 
                                                      Vatsyayanan",214,150.00
Vaikom Sathyagraham,E Rajan,302,260.00
Mathrubhumi Azhchapathippu Kathakal 2015,Many Authors,528,400.00
Kathayalla Jeevitham Thanne,Unnikrishnan Puthoor,208,190.00
Samthruptha Dampathya Vijnanam,Swami Nirmalanandagiri Maharaj,120,110.00
Varoo Daivame Varoo,C V Balakrishnan,126,110.00
Avukaderkutty Naha ,Nellikkuthu Abdurahman Musliyar,160,150.00
Thadavukaran Jailor Pradhanamanthri,Tabrik C,292,290.00
Salabhamazha,Adila A Kabeer,120,100.00
Aananda Lahari,Sadhguru Jaggi Vasudev,247,225.00
M S Subbulakshmi (Malayalam),Manjulamala MV,110,90.00
Aathmavelicham,A K Abdul Majeed,207,165.00
Ponnurukum Pookkalam,K K Vinod Kumar,168,150.00
Kathayakkanavaathe,Subhash Chandran,143,120.00
Njanenna Bharatheeyan,K K Mohammed,168,280.00
Spain: Kaalapporinte Naadu,Karoor Soman,216,175.00
Short Film Nirmmanam,Sajan Theruvappuzha,156,125.00
Njan Sita,Ananya G,111,90.00
Babukka,Bicha Baburaj,184,165.00
T Damodaran : Jeevithavum Rachanayum,Deedi Damodaran,168,140.00
Sita,Snehalata Reddy,70,60.00
Matsya Mazha Peyyunna Sandhyakal,N Sasidharan,214,180.00
Thalassery Pachakam,Raziya Latheef,200,160.00
Ardramee Dhanumasa Ravil ,Sreedevi Kakkad,247,220.00
Ilakal Kozhiyatha Marangal,S Jayachandran Nair,400,325.00
Ramana Maharshi: Jeevithavum Vakkum,T S Pranatharthiharan,150,125.00
Ramana Maharshi Paranja Kathakal,P M Narayanan,135,140.00
Ramana Maharshi (Mathrubhumi Edition),Saraswathi S Varier,336,270.00
R Sankar: Oru Yugasrashtavu,Anchayil Raghu,398,350.00
